2026-09-06 13:35:07 | INFO     | test_backfill | Gold: 2112 filas insertadas para pais=OSO006 tipo=PEXANTE fecha=2026-09-02
2026-09-06 13:35:07 | INFO     | test_backfill | === Pipeline OK fecha=2026-09-02 paises=6/6 filas=118393 ===
2026-09-06 13:35:07 | INFO     | test_backfill | === Iniciando pipeline para fecha=2026-09-03 ===
2026-09-06 13:35:07 | INFO     | test_backfill | Descargando Predespacho fecha=2026-09-03 -> C:\Users\David\AppData\Local\Temp\predespacho_20260903_1jt6e3so\PUB004-PRE-20260903.zip
2026-09-06 13:35:09 | INFO     | test_backfill | Descarga OK fecha=2026-09-03 tamaño=10837595 bytes
2026-09-06 13:35:09 | INFO     | test_backfill | Bronze OK fecha=2026-09-03 pais=OSO001 -> data\bronze\fecha=2026-09-03\pais=OSO001\PUB004-PRE-20260903-OSO001-134812.xlsx
2026-09-06 13:35:21 | INFO     | test_backfill | Silver: 477 filas limpiadas para pais=OSO001 tipo=TCP fecha=2026-09-03
2026-09-06 13:35:21 | INFO     | test_backfill | Silver: 90814 filas limpiadas para pais=OSO001 tipo=TOP fecha=2026-09-03
2026-09-06 13:35:21 | INFO     | test_backfill | Silver: 5592 filas limpiadas para pais=OSO001 tipo=PEXANTE fecha=2026-09-03
2026-09-06 13:35:21 | INFO     | test_backfill | Gold: 477 filas insertadas para pais=OSO001 tipo=TCP fecha=2026-09-03
2026-09-06 13:35:41 | INFO     | test_backfill | Gold: 90814 filas insertadas para pais=OSO001 tipo=TOP fecha=2026-09-03
2026-09-06 13:35:41 | INFO     | test_backfill | Gold: 5592 filas insertadas para pais=OSO001 tipo=PEXANTE fecha=2026-09-03
2026-09-06 13:35:41 | INFO     | test_backfill | Bronze OK fecha=2026-09-03 pais=OSO002 -> data\bronze\fecha=2026-09-03\pais=OSO002\PUB004-PRE-20260903-OSO002-135034.xlsx
2026-09-06 13:35:42 | INFO     | test_backfill | Silver: 274 filas limpiadas para pais=OSO002 tipo=TCP fecha=2026-09-03
2026-09-06 13:35:42 | INFO     | test_backfill | Silver: 349 filas limpiadas para pais=OSO002 tipo=TOP fecha=2026-09-03
2026-09-06 13:35:42 | INFO     | test_backfill | Silver: 1032 filas limpiadas para pais=OSO002 tipo=PEXANTE fecha=2026-09-03
2026-09-06 13:35:42 | INFO     | test_backfill | Gold: 274 filas insertadas para pais=OSO002 tipo=TCP fecha=2026-09-03
